Reporting area,MMWR Year,MMWR Quarter,"Tuberculosis†, Current quarter","Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2017","Tuberculosis†, Cum 2017, flag","Tuberculosis†, Cum 2016","Tuberculosis†, Cum 2016, flag",Location 1,Location 2
IOWA,2017,2,,-,0,,11,,1,,27,,"{'needs_recoding': False, 'longitude': '-93.815856', 'latitude': '42.46942', 'human_address': '{""address"":"""",""city"":"""",""state"":""IOWA"",""zip"":""""}'}",
KANSAS,2017,2,,-,0,,9,,,-,21,,"{'needs_recoding': False, 'longitude': '-98.201847', 'latitude': '38.345528', 'human_address': '{""address"":"""",""city"":"""",""state"":""KANSAS"",""zip"":""""}'}",
MINNESOTA,2017,2,39,,19,,59,,58,,69,,"{'needs_recoding': False, 'longitude': '-94.793397', 'latitude': '46.357661', 'human_address': '{""address"":"""",""city"":"""",""state"":""MINNESOTA"",""zip"":""""}'}",
MISSOURI,2017,2,4,,4,,33,,20,,45,,"{'needs_recoding': False, 'longitude': '-92.566292', 'latitude': '38.636168', 'human_address': '{""address"":"""",""city"":"""",""state"":""MISSOURI"",""zip"":""""}'}",
NEBRASKA,2017,2,3,,3,,6,,8,,19,,"{'needs_recoding': False, 'longitude': '-99.367122', 'latitude': '41.640503', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEBRASKA"",""zip"":""""}'}",
NORTH DAKOTA,2017,2,,-,0,,6,,4,,12,,"{'needs_recoding': False, 'longitude': '-100.121011', 'latitude': '47.475879', 'human_address': '{""address"":"""",""city"":"""",""state"":""NORTH DAKOTA"",""zip"":""""}'}",
SOUTH DAKOTA,2017,2,2,,2,,6,,8,,7,,"{'needs_recoding': False, 'longitude': '-100.373709', 'latitude': '44.35371', 'human_address': '{""address"":"""",""city"":"""",""state"":""SOUTH DAKOTA"",""zip"":""""}'}",
S. ATLANTIC,2017,2,276,,276,,503,,572,,789,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",S. ATLANTIC
DELAWARE,2017,2,4,,3,,4,,8,,10,,"{'needs_recoding': False, 'longitude': '-75.574561', 'latitude': '39.008676', 'human_address': '{""address"":"""",""city"":"""",""state"":""DELAWARE"",""zip"":""""}'}",
DIST. OF COL.,2017,2,7,,4,,7,,14,,17,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":""DIST. OF COL."",""zip"":""""}'}",
FLORIDA,2017,2,72,,72,,164,,199,,314,,"{'needs_recoding': False, 'longitude': '-81.922409', 'latitude': '28.915325', 'human_address': '{""address"":"""",""city"":"""",""state"":""FLORIDA"",""zip"":""""}'}",
GEORGIA,2017,2,46,,46,,83,,114,,152,,"{'needs_recoding': False, 'longitude': '-83.631709', 'latitude': '32.836038', 'human_address': '{""address"":"""",""city"":"""",""state"":""GEORGIA"",""zip"":""""}'}",
MARYLAND,2017,2,56,,24,,80,,80,,91,,"{'needs_recoding': False, 'longitude': '-76.612333', 'latitude': '39.290443', 'human_address': '{""address"":"""",""city"":"""",""state"":""MARYLAND"",""zip"":""""}'}",
NORTH CAROLINA,2017,2,31,,29,,80,,60,,79,,"{'needs_recoding': False, 'longitude': '-79.180571', 'latitude': '35.47995', 'human_address': '{""address"":"""",""city"":"""",""state"":""NORTH CAROLINA"",""zip"":""""}'}",
SOUTH CAROLINA,2017,2,13,,10,,31,,23,,45,,"{'needs_recoding': False, 'longitude': '-81.037094', 'latitude': '34.009286', 'human_address': '{""address"":"""",""city"":"""",""state"":""SOUTH CAROLINA"",""zip"":""""}'}",
VIRGINIA,2017,2,44,,23,,79,,67,,76,,"{'needs_recoding': False, 'longitude': '-78.45822', 'latitude': '37.542699', 'human_address': '{""address"":"""",""city"":"""",""state"":""VIRGINIA"",""zip"":""""}'}",
WEST VIRGINIA,2017,2,3,,3,,5,,7,,5,,"{'needs_recoding': False, 'longitude': '-80.709421', 'latitude': '38.668501', 'human_address': '{""address"":"""",""city"":"""",""state"":""WEST VIRGINIA"",""zip"":""""}'}",
E.S. CENTRAL,2017,2,76,,76,,122,,175,,158,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",E.S. CENTRAL
ALABAMA,2017,2,22,,22,,37,,59,,54,,"{'needs_recoding': False, 'longitude': '-86.631125', 'latitude': '32.839182', 'human_address': '{""address"":"""",""city"":"""",""state"":""ALABAMA"",""zip"":""""}'}",
KENTUCKY,2017,2,13,,13,,33,,32,,33,,"{'needs_recoding': False, 'longitude': '-84.774043', 'latitude': '37.64591', 'human_address': '{""address"":"""",""city"":"""",""state"":""KENTUCKY"",""zip"":""""}'}",
MISSISSIPPI,2017,2,13,,9,,22,,22,,24,,"{'needs_recoding': False, 'longitude': '-89.537312', 'latitude': '32.738663', 'human_address': '{""address"":"""",""city"":"""",""state"":""MISSISSIPPI"",""zip"":""""}'}",
TENNESSEE,2017,2,28,,20,,36,,62,,47,,"{'needs_recoding': False, 'longitude': '-85.774444', 'latitude': '35.681402', 'human_address': '{""address"":"""",""city"":"""",""state"":""TENNESSEE"",""zip"":""""}'}",
W.S. CENTRAL,2017,2,222,,222,,384,,502,,782,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",W.S. CENTRAL
ARKANSAS,2017,2,21,,14,,27,,35,,43,,"{'needs_recoding': False, 'longitude': '-92.275105', 'latitude': '34.748745', 'human_address': '{""address"":"""",""city"":"""",""state"":""ARKANSAS"",""zip"":""""}'}",
LOUISIANA,2017,2,6,,6,,35,,36,,62,,"{'needs_recoding': False, 'longitude': '-92.463284', 'latitude': '31.2931', 'human_address': '{""address"":"""",""city"":"""",""state"":""LOUISIANA"",""zip"":""""}'}",
OKLAHOMA,2017,2,11,,10,,18,,21,,42,,"{'needs_recoding': False, 'longitude': '-97.521264', 'latitude': '35.468494', 'human_address': '{""address"":"""",""city"":"""",""state"":""OKLAHOMA"",""zip"":""""}'}",
TEXAS,2017,2,184,,184,,311,,410,,635,,"{'needs_recoding': False, 'longitude': '-99.423022', 'latitude': '31.827233', 'human_address': '{""address"":"""",""city"":"""",""state"":""TEXAS"",""zip"":""""}'}",
MOUNTAIN,2017,2,59,,49,,258,,160,,83,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",MOUNTAIN
ARIZONA,2017,2,12,,0,,188,,60,,,-,"{'needs_recoding': False, 'longitude': '-111.760902', 'latitude': '34.869712', 'human_address': '{""address"":"""",""city"":"""",""state"":""ARIZONA"",""zip"":""""}'}",
COLORADO,2017,2,17,,11,,18,,30,,35,,"{'needs_recoding': False, 'longitude': '-106.132562', 'latitude': '38.841772', 'human_address': '{""address"":"""",""city"":"""",""state"":""COLORADO"",""zip"":""""}'}",
IDAHO,2017,2,,-,0,,11,,2,,5,,"{'needs_recoding': False, 'longitude': '-114.364237', 'latitude': '43.680635', 'human_address': '{""address"":"""",""city"":"""",""state"":""IDAHO"",""zip"":""""}'}",
